name,slug,id,category,energy,fat,satFat,carbs,sugar,protein,salt,description,actualPrice,loyaltyPrice,unitOfMeasure,conversionMeasure,conversionValue,constraintCode
"Ekologiškas jogurtas BIOS su mėlynėmis, 3,1% rieb., 370 g",Ekologiskas-jogurtas-BIOS-su-melynemis-31percent-rieb-370-g,kRLHE4iIIgtOHBSAMF3W,Yogurt desserts,104,3.1,2,15.2,14.4,3.8,0.1,Ekologiškas jogurtas su mėlynėmis. LT-EKO-001,2.29,,VNT,KG,0.37,fresh
"Šaldyti, kepti vištienos filė kepsneliai tempūroje, 500 g. ",Saldyti-kepti-vistienos-file-kepsneliai-temouroje-500-g,cvdEYFguhmxbh8LpmI5F,Frozen meals,192,8.4,1.2,16.4,0.9,12.6,0.93,,5.99,,VNT,KG,0.5,frozen
"Pyragaitis KINDER DELICE, 39 g",Pyragaitis-KINDER-DELICE-39-g,NJPulflOZxsDaLvxLKz7,Bars,455,22.6,13.1,58.8,41,5.5,0.26,"Pyragaitis KINDER DELICE, 39 g",0.89,,VNT,KG,0.039,
"Javainių batonėlis su bananais ir pieniniu šokoladu CORNY BIG, 50 g",Javainiu-batonelis-su-bananais-ir-pieniniu-sokoladu-CORNY-BIG-50-g,oLEX5G0PUviC8GvRdKQy,Cereal bars,445,17.7,9.6,66,33.8,6.1,0.5,Su bananais ir pieniniu šokoladu javainių batonėlis.,0.99,,VNT,KG,0.05,
"Ryžiai ilgagrūdžiai SKANĖJA, 8 x 125 g",Ryziai-ilgagrudziai-SKANEJA-8-x-125-g,dhp5e2sBVJGeokbrdPSf,Long grain rice,358,0.8,0.2,77.9,1,8.2,0,Ryžiai ilgagrūdžiai,2.79,,VNT,KG,1,
"Šaldyta pica RISTORANTE HAWAII, 335 g",Saldyta-pica-RISTORANTE-HAWAII-335-g,qsGXgba6MJcVXtDzkVTj,Frozen pizzas and snacks,215,8.4,2.7,25,5.4,8.5,0,Šaldyta pica,,,VNT,KG,0.355,frozen
"Saldainiai - guminukai HARIBO AUKSINIAI MEŠKUČIAI, 160 g",Saldainiai-guminukai-HARIBO-AUKSINIAI-MESKUCIAI-175-g,mmF2Ay9fagg2jjeqqtbh,Gummys,343,0.5,0.1,77,46,6.9,0.1,Saldainiai - guminukai.,2.89,,VNT,KG,0.16,
"Visavertis sausas suaugusių kačių ėdalas su veršiena CLEVER, 100 g Kalb",Visavertis-sausas-suaugusiu-kaciu-edalas-su-versiena-CLEVER-100-g,mHc7n8fAxwO1pnUEFWhE,Dry food for cats,79,0.05,NaN,NaN,NaN,0.1,NaN,Sausas kačių ėdalas,0.29,,VNT,KG,0.1,babyFood
"Juodasis KARALIŠKAS, 100 g",Juodasis-KARALISKAS-100-g,eXBgpZU7BQDWxwqrhcqg,Chocolate,601,47,29,32,28,7.1,0.02,Juodasis.,2.99,,VNT,KG,0.1,
"MAGGI EKOLOGIŠKAS VIŠTIENOS SULTINYS, 80 g",MAGGI-EKOLOGISKAS-VISTIENOS-SULTINYS-80-g,qzWwzBBtvrKNPaEqTrFy,Broths,252,8.7,3.7,37.4,15.3,5.2,43.4,"Ekologiškas MAGGI BIO vištienos sultinys - tai paprasčiausias būdas pradžiuginti šeimą pamėgtais patiekalais, suteikiant jiems ypatingo ir sodraus skonio. Mažas sultinio kubelis lengvai tirpsta vandenyje, jį patogu dozuoti. Pakelyje yra 8 sultinio kubelių.",2.99,,VNT,KG,0.08,
"Prieskonių mišinys SAUDA (PERSILADAS), 80 g",Prieskoniu-misinys-SAUDA-PERSILADAS-80-g,m1IUgvZyvedOWcNEHCic,Preparations of spices for dishes,151,1.2,0.2,23,16,9.4,56,Persiladas,0.89,,VNT,KG,0.08,
"Raguoliai su kakavos skonio įdaru 7 DAYS MINI, 185 g",Raguoliai-su-kakavos-skonio-idaru-7-DAYS-MINI-185-g,2jU2g4xfTeacvDtNEkBT,Croissants,448,26,13,46,19,6,0.55,Raguoliai su kakavos skonio įdaru,2.59,,VNT,KG,0.185,
"Obuolių ir aviečių sulčių gėrimas GIMTINĖS ELMENHORSTER (30%), 1 l",Obuoliu-ir-avieciu-sulciu-gerimas-GIMTINES-ELMENHORSTER-30percent-1-l,lDZtQvqAQIxDOJP37yAX,Juice drinks,21,0.1,0.1,5,2.4,0.1,0,Mažiausias vaisių kiekis – 30%.,1.79,,VNT,L,1,
"Sumuštinis panini su jautienos kumpiu IKI ŠEFAI, 220 g",Sumustinis-panini-su-jautienos-kumpiu-PAGAMINTA-IKI-220-g,Upu1Lxqx1MHvAy96noYw,Sandwiches,326,12,5.4,36,1.6,9.2,9.2,"Sumuštinis panini su jautienos kumpiu IKI ŠEFAI, 220 g",,,VNT,KG,0.22,fresh
"Gazuotas gaivusis gėrimas COCA COLA, 200 ml",Gazuotas-gaivusis-gerimas-COCA-COLA-200-ml,4Auv5vzQfW3e20P0Bj2z,Coca Cola,42,0,0,10.6,10.6,0,0,Gazuotas gaivusis gėrimas.,0.85,,VNT,L,0.2,
"Grietinėlė ROKIŠKIO Naminė 35%, 200 ml",Grietinele-ROKISKIO-Namine-35percent-200-ml-285018,285018,Cream,336,35,24.4,3,2.8,2.2,0.06,Grietinėlė ROKIŠKIO NAMINĖ,1.59,,VNT,L,0.2,
"Alus ANARKIST NEIPA 5,4%, 0,5 l",Alus-ANARKIST-NEIPA-54percent-05-l,WXaLIaAnUD8kBI7MCGjo,Light beer,46,0,0,3.3,0,0.5,0,"Alus ANARKIST NEIPA 5,4%",2.25,,VNT,L,0.5,alcohol
"Kepinti žemės riešutai ESTRELLA, 140 g",Kepinti-zemes-riesutai-ESTRELLA-140-g,lhEe6GrZYfBBBCRidtDA,Nuts,611,49,8.3,13,3.4,25,1.3,Kepinti žemės riešutai.,3.19,,VNT,KG,0.14,
"Baltasis šokoladas SCHOGETTEN WHITE, 100 g",Baltasis-sokoladas-SCHOGETTEN-WHITE-100-g,9fHIoN3GpkYgVdExk6mF,Chocolate,551,33,20,58,58,5.5,1,Baltasis šokoladas SCHOGETTEN.,2.49,,VNT,KG,0.1,
"Aitriųjų paprikų ir žaliųjų citrinų skonio bulvių traškučiai LAY'S, 240 g",Aitriuju-papriku-ir-zaliuju-citrinu-skonio-bulviu-traskuciai-LAYS-265-g,QkTlJQ8MACbZgeZ5m134,Chips,526,31,2.6,53,3.1,6.1,1.7,Aitriųjų paprikų ir žaliųjų citrinų skonio bulvių traškučiai.,3.99,,VNT,KG,0.25,
"Vytinta MĖSINGA dešra, a.r., 200 g",Vytinta-MESINGA-desra-ar-200-g,sCUFoQ3SKlI4N7YxOpxD,Cured meat products,366,28,11.1,0.5,0.5,28,2.4,"Vytinta dešra, aukščiausia rūšis",6.29,,VNT,KG,0.2,fresh
"Čederio sūrio ir raudonųjų svogūnų skonio bulvių traškučiai ESTRELLA KETTLE, 120 g",Cederio-surio-ir-raudonuju-svogunu-skonio-bulviu-traskuciai-ESTRELLA-KETTLE-120-g,a4Wb0yB6vbQYXMAalLmn,Chips,503,28,2.8,53,2.9,6.5,1.4,"Čederio sūrio ir raudonųjų svogūnų skonio bulvių traškučiai ESTRELLA KETTLE, 120 g",2.69,,VNT,KG,0.12,
"Škotiškas viskis BALLANTINE'S (40%), 700 ml",Skotiskas-viskis-BALLANTINES-40percent-700-ml,TI3P0HwqnXmtHeSEOOGy,Whiskey,221,0,0,0,0,0,0,Viskis,24.95,,VNT,L,0.7,alcohol
"Vaniliniai džiūvėsėliai VILNIAUS DUONA, 250 g",Vaniliniai-dziuveseliai-VILNIAUS-DUONA-250-g,k6yIaS8XAqiLGMw6x6JU,Dried fruit,421,9.2,0,72.4,17.2,10.1,0.8,Vaniliniai džiūvėsėliai.,2.69,,VNT,KG,0.25,
"Žemės riešutų chalva, 300 g",Zemes-riesutu-chalva-300-g,xjoxbfZKWk0LNyJH3fYa,Bars,539,30.6,4.1,48.6,42.8,17.2,0,Žemės riešutų chalva,2.59,,VNT,KG,0.3,
"Sūris ""Germantas Gouda"" 45% rieb.s.m. pjaustytas 300g",Suris-riekutemis-45percent-riebumo-GERMANTO-GOUDA-300-g,dHvjJyEA7SEqonxA1Hwe,Cheese,342,26,17,2,0,27,2,Sūris riekutėmis 45% riebumo,,,VNT,KG,0.3,
"Karštai rūkytos KABANOSY dešrelės, 500 g",Karstai-rukytos-KABANOSY-desreles-500-g,rpQzuiLf7ub7DxaLFDRU,Smoked sausages and sausages,310,26,11,0.9,0.6,18,2.8,Karštai rūkytos KABANOSY dešrelės,7.99,3.99,VNT,KG,0.5,fresh
"PLIKYTI PYRAGAIČIAI KARAMELINIAI DEBESĖLIAI, 250 g",PLIKYTI-PYRAGAICIAI-KARAMELINIAI-DEBESELIAI-250-g,SjGgYW35s6PvUyWdHOBr,Cakes,294,18,9.7,28,25,4.7,0.76,"PLIKYTI PYRAGAIČIAI KARAMELINIAI DEBESĖLIAI, 250 g",5.99,4.79,VNT,KG,0.25,
"Tuno gabaliukai su citrina SUN&SEA, 240 g",Tuno-gabaliukai-su-citrina-SUNandSEA-240-g,tWQRvkoh3JS8dygbOj3d,Canned fish and seafood,191,10,1.5,0,0,25.2,1.2,Tuno gabaliukai su citrina.,4.99,,VNT,KG,0.24,
"Kukurūzų traškučiai SANTA MARIA NACHO, 475 g",Kukuruzu-traskuciai-SANTA-MARIA-NACHO-475-g,2n19ZSO7DJ6IxUcjyq0n,Corn chips,479,20,1.8,65,1.1,6.3,0.9,Kukurūzų traškučiai,5.99,,VNT,KG,0.475,
"Šviesusis alus DESPERADOS (5,9%), 330 ml",Sviesusis-alus-DESPERADOS-59percent-330-ml,mWW4pTPHXnbuIiSgFx8z,Light beer,49,NaN,NaN,NaN,NaN,NaN,NaN,Šviesusis alus,1.99,,VNT,L,0.33,alcohol
"Jautienos kepenėlių paštetas pirma rūšis NOO, 200 g",Jautienos-kepeneliu-pastetas-pirma-rusis-NOO-200-g,xGbQr7J11Yfvhgcjz0LN,Pates,238,17,5.9,6.6,6.1,14,1.8,Jautienos kepenėlių paštetas pirma rūšis.,2.29,1.83,VNT,KG,0.2,fresh
Glaistyti sausainiai DZŪKIJOS VYŠNAITĖ ,Glaistyti-sausainiai-DZuKIJOS-VYSNAITE-1-kg,iFylLvOFyMaRDZsMk02C,Cookies,435,17.6,5.7,65.3,37.1,5.2,0.12,Sausainiai,7.99,,KG,KG,1,
"Geriamas jogurtas su avietėmis ir granatais GRAIKIŠKA AMFORA, 500 g",Geriamas-jogurtas-su-avietemis-ir-granatais-GRAIKISKA-AMFORA-500-g,Djqi5MiLliU3v6GxtaUB,Drinking yogurt,76,2.4,1.4,8.1,7.8,5.5,0.1,Geriamasis jogurtas su avietėmis ir granatais.,2.35,,VNT,KG,0.5,fresh
"Garuose ruošti lęšiai BONDUELLE VAPEUR, 310 g",Garuose-ruosti-lesiai-BONDUELLE-VAPEUR-310-g,OPrcR8ZU47dqA0I1zKsf,Lenses,107,0.7,0.1,14.2,0.5,8.5,0.51,"Lęšiai Vapeur"" apdoroti garais nenaudojant marinato. Taip išsaugomas natūralus jų skonis, traškumas.""",2.39,,VNT,KG,0.31,
"Rausvųjų greipfrutų nektaras GRANINI, 1 l",Rausvuju-greipfrutu-nektaras-GRANINI-1-l,KDK4B1FbFEyfiV3NiBe9,Nectars,37,0,0,8.5,8.2,0,0,Rausvųjų greipfrutų nektaras,2.99,,VNT,L,1,
"Šaldyta glazūruota nilinių tilapijų filė be odos NOWACO EXCLUSIVE, 400 g",Saldyta-glazuruota-niliniu-tilapiju-file-be-odos-NOWACO-EXCLUSIVE-400-g,iH27cyMW7F7ADTN9FlkO,Frozen fish,95,2.6,0,0,0,20,0,Nilinių tilapijų filė,5.29,3.7,VNT,KG,0.4,frozen
"Šaldytos baltakojės blyškiosios krevetės be kiautų, virtos SUNRISE, 225 g",Saldytos-baltakojes-blyskiosios-krevetes-be-kiautu-virtos-SUNRISE-225-g,ZVAmD44lBYnw96eCwJXJ,Frozen shrimp,55,0.6,0,0,0,14.9,0.19,"Baltakojės blyškiosios krevetės, vanduo.",6.99,,VNT,KG,0.225,frozen
"Negazuotas gaivusis gėrimas su juodąja arbata NESTEA ZERO, 1,5 l",Negazuotas-gaivusis-gerimas-su-juodaja-arbata-NESTEA-ZERO-15-l,276841,Ice tea,1,0,0,0.02,0,0,0.02,"Negazuotas gaivusis gėrimas su juodąja arbata NESTEA ZERO, 1,5 l",1.99,,VNT,L,1.5,
"Jogurtas su persikais ir dribsniais BIFI ACTIVE, 360 g",Jogurtas-su-persikais-ir-dribsniais-BIFI-ACTIVE-360-g,l45QP4LdBsyrc1jgZqm3,Yogurt desserts,88,2,1.2,14,12.4,3.3,0.2,"Jogurtas su persikais ir dribsniais 2% rieb., 360g",1.55,1.19,VNT,KG,0.36,fresh
"Makaronai IKI Spaghetti, 500 g",Makaronai-IKI-Spaghetti-500-g,f9KMg35YEhK0jziMxWaT,Spaghetti,351,1.1,0.2,71,3,13,0.02,Makaronai IKI Spaghetti,0.89,,VNT,KG,0.5,
Želė vyšnių skonio 72g,Vysniu-skonio-zele-DR-OETKER-77-g,UrreOmDNJSYsFUnLOBdb,Jelly,49,0,0,10,10,1.7,0.01,Vyšnių skonio želė.,1.29,,VNT,KG,0.072,
"Aitriųjų paprikų ir žaliųjų citrinų skonio bulvių traškučiai LAY'S, 200 g",Aitriuju-papriku-ir-zaliuju-citrinu-skonio-bulviu-traskuciai-LAYS-210-g,ZdjTxNtou4Jl2ow2wrWM,Chips,524,32,2.6,51,1,6.4,2.1,Aitriųjų paprikų ir žaliųjų citrinų skonio bulvių traškučiai.,3.29,2.49,VNT,KG,0.19,
"Rūkytos menkių kepenėlės SUN&SEA, 120 g",Rukytos-menkiu-kepeneles-SUNandSEA-120-g,nLYw1LJFRXM7TZuQlvbC,Canned fish and seafood,432,43,5.3,3.8,0,7.4,0.75,Rūkytos menkių kepenėlės.,3.49,,VNT,KG,0.12,
"Šaldyti natūralūs blyneliai VIČI, 0,5 kg",Saldyti-naturalus-blyneliai-VICI-05-kg,TfJMvSA5aabvVOdjiftH,Frozen culinary and confectionery products,183,3.8,1.2,30,6.5,7.1,1,Šaldyti natūralūs blyneliai VIČI,,,VNT,KG,0.5,frozen
"Grietinės ir svogūnų skonio duonos traškučiai MARETTI, 70 g",Grietines-ir-svogunu-skonio-duonos-traskuciai-MARETTI-70-g,6RoICoi44AgSjAvyrwjT,Bread chips,453,14,1.2,71,5.5,9.1,2,Grietinės ir svogūnų skonio duonos traškučiai MARETTI,1.19,,VNT,KG,0.07,
"Ananasų sultys 100% HAPPY DAY, 1 l",Ananasu-sultys-100percent-HAPPY-DAY-1-l,KucxRFUpIofucJX8S6j6,Pineapple juice,54,0.5,0.1,11.8,11.8,0.5,0.01,Ananasų sultys 100%.,3.99,,VNT,L,1,
"Šviesusis alus KALNAPILIS ORIGINAL (5%), 500 ml",Sviesusis-alus-KALNAPILIS-ORIGINAL-5percent-500-ml,gtYqUi6Lf5EHWF0sIFtP,Light beer,45,0,0,3.7,0,0.3,0,Šviesusis alus,1.49,,VNT,L,0.5,alcohol
"Juodasis šokoladas PERGALĖ su mangų įdaru, 100 g",Juodasis-sokoladas-PERGALE-su-mangu-idaru-100-g,rzddoEVa3PmQGaNkBebW,Chocolate,493,26,16,58,51,4.3,0.04,Juodasis šokoladas su mangų įdaru,2.99,,VNT,KG,0.1,
"Virtas Klaipėdos kumpis, 300 g",Virtas-Klaipedos-kumpis-300-g,qZJi2WLZC5y8aVp75ocG,Cooked products,112,3.5,1.2,3,2.5,17,2.6,"Virtas Klaipėdos kumpis, 300 g",3.99,,VNT,KG,0.3,
"Silkių filė aliejuje ZIGMAS MATES, 240 g",Silkiu-file-aliejuje-ZIGMAS-MATES-240-g,mJuywLFOpTW1fOdtMu47,Herrings and their products,176,12,4,2.9,0.9,14,4.3,Silkių filė aliejuje ZIGMAS MATES,3.49,,VNT,KG,0.24,
RŪKYTAS PIKANTIŠKAS ROKIŠKIO SŪRIS,Rukytas-pikantiskas-suris-ROKISKIO-1-kg,PNRW3Gcud9FurQpHXGCc,Cheese,353,26.3,18.5,2,0.3,27,1.4,Rūkytas pikantiškas sūris.,12.75,8.99,KG,KG,1,fresh
"Lydytas sūris LA VACHE QUI RIT su duonos lazdelėmis, 35 g",Lydytas-suris-LA-VACHE-QUI-RIT-su-duonos-lazdelemis-35-g,SDJdDTUr7Dw72VLIz6HH,Processed cheeses,288,16,9.5,25.5,5.5,10,1.6,Lydytas sūris su duonos lazdelėmis,0.99,,VNT,KG,0.035,fresh
"Universalusis marinatas SANTA MARIA BBQ, 75 g",Universalusis-marinatas-SANTA-MARIA-BBQ-75-g,VrgxB3Dnf08aUEPyYDbC,Marinades,81,1.2,0.1,12,7.2,0,8.8,"Universalus mėsos marinatas „Santa Maria“. Mėsa, marinuota marinate „Santa Maria“, ant žarijų neišdžius ir išliks sultinga. Marinuodami patys, galite pasirinkti kokią tik norite mėsą ir paruošti ją pagal savo skonį.",0.99,0.74,VNT,KG,0.075,
"Tirpusis kakavos gėrimas KRUGER MIX FIX, 400 g",Tirpusis-kakavos-gerimas-KRUGER-MIX-FIX-400-g,Ehfe9VHIHVoHKOLFh6IR,Cocoa,389,2.8,1.2,84.4,81.8,3.9,0.5,"KRUGER MIX FIX - gardi tirpi kakava, kurią galima tirpinti tiek karštame, tiek šaltame piene. 375 g. kakavos užtenka vidutiniškai 25 stiklinėms gėrimo.",2.99,,VNT,KG,0.4,
"Gira RUGILĖ, 0,5 l",Gira-RUGILE-05-l,oVVjnh3NZgaB57u7eyNr,Gira,100,0,0,22,22,0,0,Gira,0.89,,VNT,L,0.5,
"Makaronai PRESTO Cornetti Rigati, 400 g",Makaronai-PRESTO-Cornetti-Rigati-400-g,pHGvdJJA1SAb1Qb2j4Xb,Pasta,363,1.3,0.3,74.8,2.5,12,0,"Makaronai PRESTO Cornetti Rigati, 400 g",0.99,,VNT,KG,0.4,
"""Rokiškio Grand"", laužytas gabaliukais, 18 mėn. 37% rieb. s.m., 100 g.",Kietas-suris-gabalais-ROKISKIO-GRAND-brandintas-12-menesiu-be-laktozes-100-g,LtZ9r3lko9UBBjf2RD8d,Hard cheeses,362,24.1,16.8,0,0,34.9,2.6,"Kietas sūris brandintas, be laktozės",2.69,,VNT,KG,0.1,fresh
"Tepiųjų riebalų mišinys SAULUTĖ, 72% rieb., 200 g",Tepiuju-riebalu-misinys-SAULUTE-72percent-rieb-200-g,tqvwyg7CLALapPwkoE9x,Lubricating fat mixtures,659,72,40,1.4,1.2,1.1,0.01,"Tepioji „Saulutė“ pagaminta iš 72 procentų šviežios grietinėlės sviesto bei 15 procentų aukščiausios kokybės rapsų aliejaus. Tepioji „Saulutė“- tai gaminys, puikiai tinkantis kasdieniniam vartojimui, gardžių kulinarinių šedevrų ruošimui, tobulų sumuštinių gamybai bei visų patiekalų gardinimui.",2.69,2.15,VNT,KG,0.2,fresh
"Užtepėlė su lašiša ZIGMAS, 160 g",Uztepele-su-lasisa-ZIGMAS-160-g,DbpCJZrl1CqCS8RmIKyN,Fish spreads and pâtés,360,35,4.9,4.5,4.5,6.1,2.8,Užtepėlė su lašiša ZIGMAS,,,VNT,KG,0.16,fresh
DVARO DŽIOVINTAS VARŠKĖS SŪRIS,Dziovintas-DVARO-varskes-suris-20percent-rieb-1-kg,JXlzsxFHJ5FjAo2DUHme,Curd cheeses,348,20,0,3.2,0,37.5,0,"Džiovintas natūralios varškės „Dvaro“ sūris, pagardintas kmynais. Gamyboje naudojamas tik pieno rūgščių baltymų raugas.",29.19,,KG,KG,1,fresh
"Šaltai rūkyta ČESNAKINĖ dešra pirma rūšis, 230 g",Saltai-rukyta-CESNAKINE-desra-pirma-rusis-230-g,OIuhVbMln9rm8BnSGq0z,Cold smoked sausages,395,33,13,0.6,0.5,24,3.5,Šaltai rūkyta ČESNAKINĖ dešra pirma rūšis,4.99,,VNT,KG,0.23,fresh
"Grietinėlės jogurtas ALMA MUAH CREME BRULEE, 380 g",Grietineles-jogurtas-ALMA-MUAH-CREME-BRULEE-380-g,9hQO2gEBC5rQ0kwMtmqT,Yogurt desserts,125,6.5,4.1,13.8,13.3,2.8,0.1,"Grietinėlės jogurtas ALMA MUAH CREME BRULEE, 380 g",,,VNT,KG,0.38,fresh
"Šaltos kavos gėrimas HOCHWALD EISKAFFEE, 0,25 l",Saltos-kavos-gerimas-HOCHWALD-EISKAFFEE-025-l,jv83dF25WQTaRnrRpidk,Ice tea,54,0.8,0.6,8.7,8.4,2.9,0.18,Šaltos kavos gėrimas HOCHWALD EISKAFFEE,1.09,,VNT,L,0.25,
"Vanilinis cukrus ALVO, 100 g",Vanilinis-cukrus-ALVO-100-g,Lz5VJjoDWijqxwYi5b28,Baking accessories,388,0,0,97,97,0,0,Vanilinis cukrus,0.95,,VNT,KG,0.1,
"Vištienos paštetas ARGETA Junior, 95 g",Vistienos-pastetas-ARGETA-Junior-95-g,BQVzoI4dOXsMWC9C01J6,Canned meat and poultry,235,19,3,4,0.7,12,1.1,Vištienos paštetas ARGETA Junior,1.69,,VNT,KG,0.095,fresh
"Šviesusis alus ŠVYTURYS EKSTRA (5,2%), 568 ml",Sviesusis-alus-SVYTURYS-EKSTRA-52percent-568-ml,GZuGYrSHFtUn3Q6grcJc,Light beer,50,NaN,NaN,NaN,NaN,NaN,NaN,"ŠVYTURYS EKSTRA – Dortmunder/European Export klasės lageris, verdamas iš miežių salyklo, ryžių, karčiųjų ir aromatinių apynių, alaus mielių bei gėlo vandens.",1.69,,VNT,L,0.568,alcohol
"Burokėlių šiaudeliai, 450 g",Burokeliu-siaudeliai-450-g,CBrnaZosVee9kO9gp6hW,Beets,60,0.12,0.02,11.4,8.2,1.9,0,Burokėlių šiaudeliai,,,VNT,KG,0.45,fresh
"Koldūnai KODUS NAMINIAI su mėsos įdaru, 1 kg",Koldunai-KODUS-NAMINIAI-su-mesos-idaru-1-kg,lh8vB4faKfDyogcGBgoj,Frozen dumplings and noodles,285,14.9,6.2,28.42,1,9.2,1,"Naminiai koldūnai su mėsos įdaru - kiauliena, jautiena ir vištiena.",5.99,,VNT,KG,1,frozen
"Baltos blyškiosios krevetės, 200 g",Baltos-blyskiosios-krevetes-200-g,LpHwf4LoOtpzzQ4LgK6T,Shrimp,73,0.9,0.3,0.39,0.26,15.9,0.68,"Baltos blyškiosios krevetės, 200 g",5.99,,VNT,KG,0.2,frozen
"Bulvių traškučiai barbekiu padažo skonio PRINGLES, 165 g",Bulviu-traskuciai-barbekiu-padazo-skonio-PRINGLES-165-g,GfvjsGDawMVsjksM7QYG,Chips,503,31,3.4,52,4.6,4.2,1.7,Bulvių traškučiai,2.99,,VNT,KG,0.165,
"Šviesusis alus KALNAPILIO GRAND SELECT (5,4%), 4 x 568 ml",Sviesusis-alus-KALNAPILIO-GRAND-SELECT-54percent-4-x-568-ml,QZwQ1sOvHfRy2FGGWy16,Light beer,47,0,0,3.6,0,0.3,0,"Turtingo skonio, tačiau lengvas Lager tipo alus.",6.69,,VNT,L,2.272,alcohol
"Basmati ryžiai RISO SCOTTI, 4x 125g",Basmati-ryziai-RISO-SCOTTI-4x-125g,rVqoGctDbSCgF4Yu6XVm,Basmati rice,351,0.9,0,78,0,8,0,Ryžiai,3.99,2.79,VNT,KG,0.5,
"Migdolų skonio gėrimas ALPRO ALMOND ORIGINAL, 1 l",Migdolu-skonio-gerimas-ALPRO-ALMOND-ORIGINAL-1-l,v5mU4ubu8QXKDwjCFCed,Milk drinks,24,1.1,0,3,3,0.5,0.13,"Migdolų skonio gėrimas yra natūraliai mažo riebumo, pagamintas išsaugant visas augalų gerąsias savybes. Alpro Soya migdolų gėrimas puikiai dera su košėmis, arbata, kava, gaminant kokteilius, vaisinius kokteilius.",,,VNT,L,1,fresh
Marinuota žalioji kiaulienos šoninė su kaulu ,Marinuota-zalioji-kiaulienos-sonine-su-kaulu-1-kg,ObgSPGKi6vtgdgWeo2ot,Pork,641,68,23,0.5,0.5,7,1.1,Marinuota žalioji kiaulienos šoninė su kaulu,7.49,,KG,KG,1,fresh
"Desertinis karamelinis grietinėlės kremas KARUMS, 8% rieb., 150 g",Desertinis-karamelinis-grietineles-kremas-KARUMS-8percent-rieb-150-g,UVuWegWMwCl5EOScaU5Q,Dessert cottage cheese,188,8,4.8,23.6,20.7,5.2,0.15,"Karamelės skonio plaktos grietinėlės desertas, gali būti vartojamas ir šaldytas. Be augalinių riebalų.",,,VNT,KG,0.15,fresh
"Sausainiai BELVITA FOREST FRUITS su miško uogomis, 300 g",Sausainiai-BELVITA-FOREST-FRUITS-su-misko-uogomis-300-g,0Pt9g1EcIh42iRxO24dy,Cookies,450,16,1.5,68,24,7.5,0.33,Sausainiai BELVITA FOREST FRUITS su miško uogomis.,4.29,,VNT,KG,0.3,
"Vytintų lašišų filė juostelės ZIGMAS, 80 g",Vytintu-lasisu-file-juosteles-ZIGMAS-80-g,K68ygnAL5mLYNbR0btcJ,Cured fish and seafood,418,26.1,4.7,0.1,0,45.8,6.4,Vytintos lašišos filė juostelės - puikus užkandis.,2.49,,VNT,KG,0.08,fresh
"Apelsinų sultys CIDO (100%), 1,5 l",Apelsinu-sultys-CIDO-15-l,AmAF3x3LVckzN2DkWVeM,Orange juice,44,0,0,11,11,0,0,Apelsinų sultys CIDO,,,VNT,L,1.5,
"Tradicinė silkių filė VIČI PREMIUS aliej. su džiov. baravykais, 200 g",Tradicine-silkiu-file-VICI-PREMIUS-aliej-su-dziov-baravykais-200-g,Tx8gVpSF0w9vPrKifBYD,Herrings and their products,201,15.4,3.7,2.8,0.9,12.8,4.5,Silkių filė,,,VNT,KG,0.21,fresh
"Virtas, karštai rūkytas saliamis su juodaisiais pipirais VALSTIETIS, 90 g",Virtas-karstai-rukytas-saliamis-su-juodaisiais-pipirais-VALSTIETIS-90-g,I2lVs5jVnccAuEcgRPO4,Hot smoked sausages,316,23,8.8,1.1,0.1,26,2.9,Saliamis,3.29,2.63,VNT,KG,0.09,fresh
"Sūdyta lašišų filė ZIGMAS su oda, 160 g",Sudyta-lasisu-file-ZIGMAS-su-oda-160-g,66NioX5knrsNnLQ5MaWE,Fish products,194,13,2.7,0.8,0.7,19,3,Sūdyta lašišų filė su oda,6.49,,VNT,KG,0.16,fresh
"Salotos su liežuviais ir pievagrybiais  IKI ŠEFAI, 180 g",Salotos-su-liezuviais-ir-pievagrybiais-180-g,8HDUH6rC1DtuEeFziCqQ,Salad,158,10,1.4,9.2,2.5,4.8,4.8,"Salotos su liežuviais ir pievagrybiais IKI ŠEFAI, 180 g",2.29,,VNT,KG,0.2,fresh
"Didysis submarinas su kebabų mėsa IKI ŠEFAI, 310 g",Didysis-submarinas-su-kebabu-mesa-PAGAMINTA-IKI-310-g,6VQiRM4LQdVmuZ2E74H1,Sandwiches,247,11,1.1,30,5.7,5.4,5.4,"Didysis submarinas su kebabų mėsa IKI ŠEFAI, 310 g",3.89,3.19,VNT,KG,0.31,fresh
"Karštai rūkytas servelatas CLEVER, 280 g",Karstai-rukytas-servelatas-CLEVER-280-g,SJlSRBzi0jZq8t0mrLh0,Hot smoked sausages,264,23,8.7,1.3,1.1,13,1.9,Karštai rūkytas servelatas,1.18,,VNT,KG,0.28,babyFood
"Šokoladinis batonėlis SNICKERS, 50 g",Sokoladinis-batonelis-SNICKERS-50-g,ucjTvK3M1rKE5QlIsjyH,Bars,485,23,9.1,60.2,50.8,8.6,0.6,Šokoladinis batonėlis,1.09,,VNT,KG,0.05,
Pyragas Napoleonas PAGAMINTA IKI ,Pyragas-Napoleonas-PAGAMINTA-IKI-1-kg,cl8ex89gV5i6SUD4Lisz,Cakes,367,17,8.8,34,19,3.1,0.5,Pyragas Napoleonas,,,KG,KG,1,fresh
