name,slug,id,category,energy,fat,satFat,carbs,sugar,protein,salt,description,actualPrice,loyaltyPrice,unitOfMeasure,conversionMeasure,conversionValue,constraintCode
"Glaistytas varškės sūrelis VILKYŠKIŲ LESS SUGAR vanilės skonio 30% rieb., 40 g",Glaistytas-varskes-surelis-VILKYSKIU-LESS-SUGAR-vaniles-skonio-30percent-rieb-40-g,zp0Zo7Td9WqIJbBBBPrm,Curd cheeses,369,30.4,21.1,16.8,14.7,6.8,0.37,Švelnus klasikinis vanilės skonis puikiai atsiskleidžia VILKYŠKIŲ LESS SUGAR sūrelyje. Cukrų jame – net 43% mažiau*. Mažiau cukraus – mažiau nuodėmės! *lyginant su panašių sūrelių cukrų vidurkiu Lietuvoje.,0.75,,VNT,KG,0.04,fresh
"Kvietiniai miltai MALSENA, a. r., 550 D, 2 kg",Kvietiniai-miltai-MALSENA-a-r-550-D-2-kg,Z33q8byVp0pOCw6ocJbt,wheat flour,342,1.3,0.2,73.6,0.5,10.4,0.01,"Aukščiausios rūšies kvietiniai miltai (550D) MALSENA tinka įvairiems kepiniams, ypač mieliniams, bandelėms ir pyragams kepti",2.19,,VNT,KG,2,
"Glaistytas varškės sūrelis MAGIJA su kondensuotu pienu, 24% rieb., 45 g",Glaistytas-varskes-surelis-MAGIJA-su-kondensuotu-pienu-24percent-rieb-45-g,z2qtk5QK36NiCUeMurdG,Curd cheeses,378,23,14.9,30.5,28.4,11.7,0.1,"Ypač purus, pagamintas pagal purios varškės technologiją. Kondensuotas pienas ir puri varškė – duetas, vienas kitą papildantis ir suteikiantis sūreliui subalansuotą švelnų skonį. Burnoje tirpstantys sūreliai puikiai tiks tiek dideliems, tiek mažiems smaližiams.",0.75,,VNT,KG,0.045,fresh
"Pavasarinis daržovių mišinys BONDUELLE 4 SEASONS MIX, 400 g",Pavasarinis-darzoviu-misinys-BONDUELLE-4-SEASONS-MIX-400-g,EJjI9Fcgmuzki8b3rMLC,Frozen mixed vegetables,38,0.4,0.03,4.4,2,2.5,0.04,"Šaldytų daržovių mišinys: žiediniai kopūstai, ankštinės žaliosios pupelės, morkos, brokoliai ir žalieji žirneliai. Šis mišinys puikiai tinka sriuboms ar pagrindinių patiekalų garnyrams.",1.99,1.39,VNT,KG,0.4,frozen
"Glaistytas varškės sūrelis NYKŠTUKAS su kondens. pienu, 21% rieb., 45 g",Glaistytas-varskes-surelis-NYKSTUKAS-su-kondens-pienu-21percent-rieb-45-g,qOZadwocr77eCXnSUShB,Curd cheeses,378,23.4,15.5,29.5,26.3,12.4,0.23,"„Nykštukas“ su kondensuotu pienu - iš natūralios varškės, sviesto, kondensuoto pieno, cukraus ir apliejamas burnoje tirpstančiu aukščiausios kokybės šokoladiniu glaistu. Šis sūrelis išsiskiria nepaprastai švelnia konsistencija ir ypač maloniu skoniu.",0.69,,VNT,KG,0.045,fresh
"Grietinė TIKRAS, 30% rieb., 360 g",Grietine-TIKRAS-30percent-rieb-360-g,JzJIl6fz5cGPtztBz9xr,Sour cream,291,30,19.2,2.8,2.8,2.5,0.1,Riebus raugintas pieno produktas,3.29,,VNT,KG,0.36,fresh
"Marinuoti agurkėliai SPILVA, 670 g",Marinuoti-agurkeliai-SPILVA-670-g,yQwJLzEonCKp3aBsrLgK,Canned cucumbers,27,0,0,6,4,0.8,1.3,Marinuoti agurkėliai „Spilva“. Agurkėliai gali būti naudojami kaip garnyras ar kaip sudedamoji salotų ar mišrainių dalis. Taip pat tinka maistui puošti.,2.99,2.24,VNT,KG,0.67,
"Makaronai LA MOLISANA FUSILLI Nr. 28 (sraigteliai), 500 g",Makaronai-LA-MOLISANA-FUSILLI-Nr-28-sraigteliai-500-g,BeCNozxWTqczccwwpYxO,Pasta,351,1,0.3,70,4,14,0.01,Makaronai sraigteliai,1.89,,VNT,KG,0.5,
"Virta MĖSINGA dešra, a. r., 340 g",Virta-MESINGA-desra-a-r-340-g,aaKa9I2IoJdqUfGUkh1s,Boiled sausages and sausages,247,22,9.2,0.3,0.3,12,1.8,"Virta dešra, aukščiausia rūšis",3.99,,VNT,KG,0.34,fresh
"Glaistytas sūrelis MAGIJA su aguonomis, 24% rieb., 45 g",Glaistytas-surelis-MAGIJA-su-aguonomis-24percent-rieb-45-g,gonqy3g2r6nsDABCvKNt,Curd cheeses,370,23.7,14.6,25.6,23.7,13.1,0.05,"Šokoladu glaistyti šviežios varškės sūreliai Magija su aguonomis. „Magija"" glaistytų varškės sūrelių gamyboje naudojamos tik natūralios, aukščiausios kokybės medžiagos - šviežia varškė, tikras šokoladas, natūralūs aguonų grūdeliai. Dėka ilgus metus puoselėjamų technologijų ir originalių receptūrų sūreliai pasižymi ypatingai puria konsistencija ir maloniu skoniu.",0.75,,VNT,KG,0.045,fresh
